GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
orm,com.revature.orm.persistence,DAOimpl,1205,0,60,0,234,0,47,0,17,0
orm,com.revature.orm.util,LoggingConfig,53,0,0,0,17,0,3,0,3,0
orm,com.revature.orm.util,ConnectionUtil,46,0,2,0,14,0,5,0,4,0
orm,com.revature.orm.util,TypeToStringMap,122,0,14,0,22,0,10,0,3,0
orm,com.revature.orm.util,Metamodel,261,0,18,0,45,0,21,0,12,0
orm,com.revature.orm.util,ColumnField,60,0,2,0,13,0,7,0,6,0
orm,com.revature.orm.util,ForeignKeyField,57,0,2,0,10,0,6,0,5,0
orm,com.revature.orm.util,IdField,57,0,2,0,12,0,6,0,5,0
orm,com.revature.orm.util,Configuration,156,0,6,0,37,0,21,0,18,0
orm,com.revature.orm.util,TypeToStringMap.classData,6,0,0,0,1,0,1,0,1,0
orm,com.revature.orm.model,Test,56,0,0,0,20,0,14,0,14,0
orm,com.revature.orm.model,User,211,0,32,0,57,0,31,0,15,0
